user_id;rec_stories
8662485;[6045275, 10506441, 4230389, 5358187, 10991501]
667246;[10506441, 2905557, 3693052, 8745066, 7565325]
676112;[2905557, 6754695, 2724972, 8257400, 5358187]
797895;[5358187, 6754695, 10991501, 10399961, 12058516]
849244;[10991501, 12058516, 10506441, 11916243, 9369875]
866150;[10991501, 12058516, 11916243, 9860311, 10399961]
1009447;[5358187, 10399961, 6892925, 2724972, 2251671]
1570528;[10506441, 10991501, 12058516, 8975202, 6754695]
1582883;[6754695, 10991501, 8975202, 12058516, 10399961]
1638611;[10991501, 12058516, 11916243, 7502401, 4230389]
1663463;[5358187, 2905557, 6045275, 6754695, 10991501]
1707053;[10991501, 10399961, 6754695, 4230389, 7502401]
1716755;[10991501, 12058516, 10506441, 10399961, 6754695]
1726366;[10506441, 5062719, 12058516, 6754695, 8232212]
1727251;[10991501, 10399961, 5062719, 6754695, 6045275]
1867834;[3157478, 12058516, 10506441, 10991501, 8823783]
1890235;[6045275, 2724972, 5358187, 10399961, 6458809]
1900973;[6045275, 9750991, 10506441, 5062719, 12058516]
1968974;[10991501, 10506441, 3401052, 2833136, 10399961]
2043604;[10991501, 12058516, 10399961, 6754695, 6045275]
2056115;[9860311, 10991501, 6754695, 10399961, 4230389]
2071557;[10991501, 4230389, 6754695, 10399961, 5358187]
2313978;[10991501, 6754695, 10399961, 2905557, 8257400]
2353125;[10991501, 4230389, 10399961, 11916243, 6045275]
2490778;[10991501, 3157478, 4230389, 11782884, 4118383]
2513926;[10506441, 3401052, 3157478, 10991501, 12058516]
2665609;[6754695, 10399961, 10991501, 4230389, 8975202]
2699805;[10991501, 6754695, 10399961, 3401052, 8975202]
3102161;[10991501, 12058516, 4302068, 9860311, 4230389]
3230503;[10506441, 6045275, 5062719, 10991501, 12058516]
3286045;[10991501, 10506441, 12058516, 11916243, 6045275]
3306332;[10991501, 10399961, 6754695, 5358187, 8257400]
3349157;[10991501, 10506441, 10399961, 8823783, 12058516]
3354458;[10991501, 12058516, 10506441, 8823783, 10399961]
3620736;[10506441, 10991501, 3401052, 12058516, 5453054]
3645727;[10506441, 10991501, 3401052, 6754695, 8975202]
3872595;[6045275, 10506441, 6458809, 3693052, 9750991]
4198562;[10506441, 8045114, 6045275, 12058516, 10991501]
4255025;[10991501, 12058516, 8045114, 6892925, 8823783]
4313102;[10506441, 10991501, 12058516, 11825585, 6754695]
4369280;[12058516, 11916243, 10506441, 6045275, 10991501]
4374622;[10991501, 10506441, 6045275, 5358187, 10399961]
4432684;[3157478, 10506441, 3693052, 12058516, 11825585]
4590174;[10991501, 11916243, 6754695, 4230389, 6045275]
5638596;[2905557, 2724972, 8257400, 6754695, 9973394]
8919669;[6754695, 10991501, 6045275, 10399961, 10506441]
531920;[10991501, 10399961, 3401052, 6754695, 12058516]
