user_id;rec_stories
3620736;[11723179, 7026042, 7124111, 4583618, 6541079]
3645727;[7026042, 11723179, 7124111, 4583618, 6541079]
3872595;[7026042, 11723179, 7124111, 4583618, 6541079]
4198562;[7026042, 11723179, 7124111, 4583618, 6541079]
4255025;[7026042, 11723179, 7124111, 4583618, 6541079]
4313102;[7026042, 11723179, 7124111, 4583618, 6541079]
4369280;[11723179, 7026042, 7124111, 4583618, 6541079]
4374622;[7026042, 11723179, 7124111, 4583618, 6541079]
4432684;[11723179, 7026042, 7124111, 6541079, 11264162]
4590174;[7026042, 11723179, 7124111, 4583618, 6541079]
5638596;[11723179, 7026042, 7124111, 6541079, 11264162]
8919669;[11723179, 7026042, 7124111, 11264162, 6541079]
531920;[7026042, 11723179, 7124111, 4583618, 6541079]
866150;[11723179, 7026042, 7124111, 11264162, 6541079]
920718;[7026042, 11723179, 7124111, 4583618, 6541079]
945165;[7026042, 11723179, 7124111, 4583618, 6541079]
1081298;[11723179, 7026042, 7124111, 11264162, 6541079]
1968974;[7026042, 11723179, 7124111, 4583618, 6541079]
2490778;[7026042, 11723179, 7124111, 4583618, 6541079]
3159672;[11723179, 7026042, 7124111, 4583618, 6541079]
3529966;[11723179, 7026042, 10610076, 7124111, 5276974]
4369280;[11723179, 10610076, 7026042, 5276974, 7124111]
4432684;[7026042, 11723179, 7124111, 4583618, 6541079]
4660561;[7026042, 11723179, 7124111, 4583618, 6541079]
8499112;[11723179, 7026042, 7124111, 10610076, 11264162]
1663463;[7026042, 11723179, 7124111, 4583618, 6541079]
1956770;[11723179, 7026042, 7124111, 4583618, 6541079]
3645727;[11723179, 7026042, 7124111, 4583618, 6541079]
5537142;[7026042, 11723179, 7124111, 4583618, 6541079]
6182956;[11723179, 7026042, 7124111, 11264162, 6541079]
8464935;[11723179, 7026042, 7124111, 4583618, 6541079]
8499112;[7026042, 11723179, 7124111, 4583618, 6541079]
1727251;[7026042, 11723179, 7124111, 4583618, 6541079]
4369280;[7026042, 11723179, 7124111, 4583618, 6541079]
5638596;[10610076, 11723179, 5276974, 7026042, 3384712]
6855546;[7026042, 11723179, 7124111, 4583618, 6541079]
8499112;[11723179, 7026042, 7124111, 6541079, 4583618]
866150;[7026042, 11723179, 7124111, 4583618, 6541079]
1009447;[11723179, 7026042, 7124111, 4583618, 6541079]
3306332;[11723179, 7026042, 7124111, 4583618, 6541079]
7201076;[7026042, 11723179, 7124111, 4583618, 6541079]
8357187;[11723179, 7026042, 10610076, 5276974, 7124111]
8499112;[7026042, 11723179, 7124111, 4583618, 6541079]
2490778;[7026042, 11723179, 7124111, 4583618, 6541079]
2777454;[11723179, 7026042, 7124111, 4583618, 6541079]
3017679;[11723179, 7026042, 7124111, 4583618, 6541079]
3306332;[7026042, 11723179, 7124111, 4583618, 6541079]
3620736;[7026042, 11723179, 7124111, 4583618, 6541079]
102390;[11723179, 7026042, 7124111, 4583618, 11264162]
456647;[7026042, 11723179, 7124111, 4583618, 6541079]
4724487;[7026042, 11723179, 7124111, 4583618, 6541079]
4735988;[7026042, 11723179, 7124111, 4583618, 6541079]
4741780;[11723179, 7026042, 7124111, 11264162, 6541079]
1426613;[11723179, 7026042, 7124111, 10610076, 5276974]
1726366;[7026042, 11723179, 7124111, 4583618, 6541079]
2120788;[7026042, 11723179, 7124111, 4583618, 6541079]
4068301;[11723179, 7026042, 7124111, 11264162, 6541079]
102390;[7026042, 11723179, 7124111, 4583618, 6541079]
134545;[7026042, 11723179, 7124111, 4583618, 6541079]
4502738;[7026042, 11723179, 7124111, 4583618, 6541079]
4612655;[11723179, 7026042, 7124111, 6541079, 11264162]
4660561;[11723179, 7026042, 7124111, 4583618, 6541079]
4724487;[11723179, 7026042, 7124111, 4583618, 6541079]
4735988;[10610076, 11723179, 5276974, 7026042, 3384712]
4748489;[11723179, 7026042, 7124111, 4583618, 6541079]
4823105;[7026042, 11723179, 7124111, 4583618, 6541079]
4848800;[7026042, 11723179, 7124111, 4583618, 6541079]
5044249;[11723179, 7026042, 7124111, 6541079, 11264162]
5198608;[7026042, 11723179, 7124111, 4583618, 6541079]
5208280;[7026042, 11723179, 7124111, 4583618, 6541079]
5494836;[7026042, 11723179, 7124111, 4583618, 5380400]
5540686;[11723179, 7026042, 7124111, 4583618, 6541079]
5548401;[11723179, 7026042, 7124111, 4583618, 11264162]
6159354;[7026042, 11723179, 7124111, 4583618, 6541079]
6275666;[11723179, 7026042, 7124111, 11264162, 6541079]
6484170;[11723179, 7026042, 7124111, 4583618, 6541079]
6717323;[7026042, 11723179, 7124111, 4583618, 6541079]
737376;[11723179, 7026042, 7124111, 4583618, 6541079]
788336;[11723179, 7026042, 7124111, 6541079, 11264162]
841104;[7026042, 11723179, 7124111, 4583618, 6541079]
848498;[11723179, 7026042, 7124111, 6541079, 11264162]
892226;[7026042, 11723179, 7124111, 4583618, 6541079]
1103092;[7026042, 11723179, 7124111, 4583618, 6541079]
1169362;[7026042, 11723179, 7124111, 4583618, 6541079]
1230656;[7026042, 11723179, 7124111, 4583618, 6541079]
1304234;[7026042, 11723179, 7124111, 4583618, 6541079]
1361554;[7026042, 11723179, 7124111, 4583618, 6541079]
1426613;[7026042, 11723179, 7124111, 4583618, 6541079]
1726366;[7026042, 11723179, 7124111, 4583618, 6541079]
1759089;[7026042, 11723179, 7124111, 4583618, 6541079]
1963839;[11723179, 7026042, 7124111, 11264162, 6541079]
1964394;[11723179, 7026042, 10610076, 5276974, 7124111]
1971975;[7026042, 11723179, 7124111, 4583618, 6541079]
2071557;[7026042, 11723179, 7124111, 4583618, 6541079]
2191537;[7026042, 11723179, 7124111, 4583618, 6541079]
2527403;[7026042, 11723179, 7124111, 4583618, 6541079]
2590193;[11723179, 7026042, 7124111, 4583618, 6541079]
2642025;[7026042, 11723179, 7124111, 4583618, 6541079]
2776642;[11723179, 7026042, 7124111, 4583618, 6541079]
3306332;[7026042, 11723179, 7124111, 4583618, 6541079]
3423761;[11723179, 7026042, 10610076, 5276974, 7124111]
3444838;[7026042, 11723179, 7124111, 4583618, 6541079]
3957230;[7026042, 11723179, 7124111, 4583618, 6541079]
4023558;[7026042, 11723179, 7124111, 4583618, 6541079]
4067190;[7026042, 11723179, 7124111, 4583618, 6541079]
4068301;[7026042, 11723179, 7124111, 4583618, 6541079]
4221031;[7026042, 11723179, 7124111, 4583618, 6541079]
4385711;[11723179, 7026042, 7124111, 6541079, 11264162]
4407605;[11723179, 7026042, 7124111, 11264162, 6541079]
102390;[7026042, 11723179, 7124111, 4583618, 6541079]
456647;[7026042, 11723179, 7124111, 4583618, 6541079]
4502738;[11723179, 7026042, 7124111, 6541079, 11264162]
4624251;[10610076, 11723179, 5276974, 7026042, 3384712]
4724487;[7026042, 11723179, 7124111, 4583618, 6541079]
4735988;[11723179, 7026042, 7124111, 11264162, 6541079]
4823105;[11723179, 7026042, 7124111, 11264162, 6541079]
5540686;[7026042, 11723179, 7124111, 4583618, 6541079]
5565245;[7026042, 11723179, 7124111, 4583618, 6541079]
5716768;[7026042, 11723179, 7124111, 4583618, 6541079]
6023643;[11723179, 7026042, 7124111, 4583618, 6541079]
6182956;[7026042, 11723179, 7124111, 4583618, 6541079]
7445622;[7026042, 11723179, 7124111, 4583618, 6541079]
529727;[7026042, 11723179, 7124111, 4583618, 6541079]
697940;[11723179, 7026042, 7124111, 11264162, 6541079]
737376;[7026042, 11723179, 7124111, 4583618, 6541079]
788336;[11723179, 7026042, 7124111, 6541079, 11264162]
818368;[11723179, 7026042, 7124111, 6541079, 4583618]
848498;[11723179, 10610076, 7026042, 5276974, 7124111]
874735;[7026042, 11723179, 7124111, 4583618, 6541079]
909080;[7026042, 11723179, 7124111, 4583618, 6541079]
985407;[7026042, 11723179, 7124111, 4583618, 6541079]
1169362;[7026042, 11723179, 7124111, 4583618, 6541079]
1175945;[7026042, 11723179, 7124111, 4583618, 6541079]
1361664;[7026042, 11723179, 7124111, 4583618, 6541079]
1374677;[11723179, 7026042, 7124111, 4583618, 6541079]
1400419;[7026042, 11723179, 7124111, 4583618, 6541079]
1426613;[11723179, 7026042, 7124111, 11264162, 6541079]
1435694;[7026042, 11723179, 7124111, 4583618, 6541079]
1547857;[7026042, 11723179, 7124111, 4583618, 6541079]
1570528;[7026042, 11723179, 7124111, 4583618, 6541079]
1612089;[7026042, 11723179, 7124111, 4583618, 6541079]
1623122;[7026042, 11723179, 7124111, 4583618, 6541079]
1638611;[7026042, 11723179, 7124111, 4583618, 6541079]
1705936;[11723179, 7026042, 7124111, 11264162, 6541079]
1708271;[7026042, 11723179, 7124111, 4583618, 6541079]
1726366;[7026042, 11723179, 7124111, 4583618, 6541079]
1793757;[7026042, 11723179, 7124111, 4583618, 6541079]
1883885;[11723179, 7026042, 7124111, 11264162, 6541079]
1910652;[7026042, 11723179, 7124111, 4583618, 6541079]
1963839;[7026042, 11723179, 7124111, 4583618, 6541079]
1964394;[11723179, 7026042, 7124111, 4583618, 6541079]
1994922;[11723179, 7026042, 7124111, 11264162, 6541079]
2130659;[7026042, 11723179, 7124111, 4583618, 6541079]
2131527;[7026042, 11723179, 7124111, 4583618, 6541079]
2208534;[7026042, 11723179, 7124111, 4583618, 6541079]
2213599;[7026042, 11723179, 7124111, 4583618, 6541079]
2251479;[7026042, 11723179, 7124111, 4583618, 6541079]
2338415;[7026042, 11723179, 7124111, 4583618, 6541079]
2399200;[7026042, 11723179, 7124111, 4583618, 6541079]
2487027;[7026042, 11723179, 7124111, 4583618, 6541079]
2490778;[7026042, 11723179, 7124111, 4583618, 6541079]
2513926;[7026042, 11723179, 7124111, 4583618, 6541079]
2514331;[11723179, 7026042, 7124111, 4583618, 6541079]
2642985;[7026042, 11723179, 7124111, 4583618, 6541079]
2789154;[7026042, 11723179, 7124111, 4583618, 6541079]
3133152;[7026042, 11723179, 7124111, 4583618, 6541079]
3306332;[11723179, 7026042, 7124111, 4583618, 6541079]
3488110;[7026042, 11723179, 7124111, 4583618, 6541079]
3932749;[7026042, 11723179, 7124111, 4583618, 6541079]
4068301;[11723179, 7026042, 7124111, 6541079, 11264162]
4096536;[7026042, 11723179, 7124111, 4583618, 6541079]
4368910;[7026042, 11723179, 7124111, 4583618, 6541079]
102390;[7026042, 11723179, 7124111, 4583618, 6541079]
426638;[7026042, 11723179, 7124111, 4583618, 6541079]
442836;[7026042, 11723179, 7124111, 4583618, 6541079]
