user_id;rec_stories
848498;[10610076, 3157478, 6466185, 5453054, 3401052]
892226;[10610076, 7899682, 10322302, 3268063, 4586362]
1103092;[10610076, 3157478, 8914586, 11671069, 5077573]
1169362;[10610076, 3157478, 7899682, 10322302, 9281148]
1230656;[10610076, 3157478, 7899682, 10322302, 6466185]
1304234;[10610076, 3157478, 10322302, 7899682, 4586362]
1361554;[10610076, 10322302, 3157478, 4586362, 6466185]
1426613;[10610076, 3157478, 4586362, 6466185, 10322302]
1726366;[10610076, 8914586, 9424669, 5721324, 11671069]
1759089;[10610076, 10322302, 3157478, 7899682, 4586362]
1963839;[10610076, 3157478, 7899682, 10322302, 9281148]
1964394;[10610076, 3157478, 7899682, 9281148, 11671069]
1971975;[10610076, 3157478, 10322302, 4586362, 6466185]
2071557;[10610076, 3157478, 6466185, 3401052, 4586362]
2191537;[6821850, 7965930, 5882420, 5716145, 6989390]
2527403;[10610076, 7899682, 3157478, 10322302, 6466185]
2590193;[10610076, 3157478, 7899682, 6466185, 10322302]
2642025;[10610076, 3157478, 7899682, 10322302, 6466185]
2776642;[10610076, 3157478, 7899682, 5453054, 3401052]
3306332;[10610076, 10322302, 3157478, 7899682, 4586362]
3423761;[10610076, 3157478, 7899682, 6466185, 10322302]
3444838;[10610076, 7899682, 3157478, 10322302, 6466185]
3957230;[10610076, 10322302, 4586362, 7899682, 6466185]
4023558;[6772394, 8837107, 9832027, 4293510, 9424669]
4067190;[10610076, 3157478, 7899682, 5453054, 6466185]
4068301;[10610076, 3157478, 7899682, 6466185, 5453054]
4221031;[10610076, 3157478, 6466185, 4586362, 10322302]
4385711;[10610076, 6466185, 4586362, 4536005, 3401052]
4407605;[10610076, 8914586, 3157478, 5077573, 11671069]
102390;[10322302, 10610076, 4586362, 6772394, 6466185]
456647;[10322302, 6772394, 4586362, 6733544, 3323816]
4502738;[8914586, 9424669, 5077573, 2919503, 2571676]
4624251;[10610076, 3157478, 7899682, 5453054, 11671069]
4724487;[10610076, 3157478, 5453054, 6466185, 5721324]
4735988;[10610076, 3157478, 7899682, 6466185, 10322302]
4823105;[10610076, 3157478, 7899682, 5453054, 3401052]
5540686;[10610076, 3157478, 10322302, 7899682, 4586362]
5565245;[10610076, 3157478, 6466185, 3401052, 5453054]
5716768;[10610076, 3157478, 5453054, 7899682, 3401052]
6023643;[10610076, 3157478, 5721324, 11671069, 10322302]
6182956;[7965930, 5716145, 6821850, 5782455, 5019485]
7445622;[10610076, 3157478, 6466185, 7899682, 4586362]
529727;[10610076, 7899682, 3157478, 10322302, 3268063]
697940;[10610076, 3157478, 8914586, 5077573, 11671069]
737376;[10610076, 3157478, 7899682, 10322302, 6466185]
788336;[8914586, 9704180, 5403795, 11574569, 11446957]
818368;[10610076, 3157478, 10322302, 7899682, 9281148]
848498;[10610076, 3157478, 7899682, 5453054, 3401052]
874735;[10610076, 10322302, 7899682, 3157478, 4586362]
