user,ndcg@5,precision@5,MAP
155254,0.0,0.0,0.0
155341,0.0,0.0,0.0
155368,0.0,0.0,0.0
156982,0.0,0.0,0.0
158344,0.0,0.0,0.0
160493,0.0,0.0,0.0
161362,0.0,0.0,0.0
162675,0.0,0.0,0.0
162976,0.0,0.0,0.0
165431,0.0,0.0,0.0
166454,0.0,0.0,0.0
167396,0.0,0.0,0.0
168162,0.0,0.0,0.0
168323,0.0,0.0,0.0
168960,0.0,0.0,0.0
169110,0.0,0.0,0.0
169450,0.0,0.0,0.0
169601,0.0,0.0,0.0
169799,0.0,0.0,0.0
171384,0.0,0.0,0.0
172092,0.0,0.0,0.0
172759,0.0,0.0,0.0
172762,0.0,0.0,0.0
173397,0.0,0.0,0.0
173423,0.0,0.0,0.0
174196,0.0,0.0,0.0
177039,0.0,0.0,0.0
178744,0.0,0.0,0.0
179816,0.0,0.0,0.0
180046,0.0,0.0,0.0
181314,0.0,0.0,0.0
181408,0.0,0.0,0.0
181587,0.0,0.0,0.0
183574,0.0,0.0,0.0
185045,0.0,0.0,0.0
185068,0.0,0.0,0.0
186258,1.0,0.2,0.5208333333333333
186988,0.0,0.0,0.0
188500,0.0,0.0,0.0
188819,0.0,0.0,0.0
189979,0.0,0.0,0.0
191981,0.0,0.0,0.0
194014,0.0,0.0,0.0
194828,0.0,0.0,0.0
196185,0.0,0.0,0.0
196742,0.0,0.0,0.0
196956,0.0,0.0,0.0
197577,0.0,0.0,0.0
198740,0.0,0.0,0.0
199957,0.0,0.0,0.0
200648,0.0,0.0,0.0
201914,0.0,0.0,0.0
201940,0.0,0.0,0.0
202396,0.0,0.0,0.0
202470,0.0,0.0,0.0
202818,0.0,0.0,0.0
203368,0.0,0.0,0.0
204387,0.0,0.0,0.0
205120,0.0,0.0,0.0
205154,0.0,0.0,0.0
205586,0.0,0.0,0.0
206236,0.0,0.0,0.0
207495,0.0,0.0,0.0
208622,0.0,0.0,0.0
208848,0.0,0.0,0.0
209590,0.0,0.0,0.0
209762,0.0,0.0,0.0
210745,0.0,0.0,0.0
212294,0.0,0.0,0.0
212316,0.0,0.0,0.0
212845,0.0,0.0,0.0
213491,0.0,0.0,0.0
213589,0.0,0.0,0.0
215555,0.0,0.0,0.0
217750,0.0,0.0,0.0
218394,0.0,0.0,0.0
219313,0.0,0.0,0.0
219678,0.0,0.0,0.0
221490,0.0,0.0,0.0
223908,0.0,0.0,0.0
224601,0.0,0.0,0.0
228218,0.0,0.0,0.0
228420,0.0,0.0,0.0
230102,0.0,0.0,0.0
230875,0.0,0.0,0.0
231376,0.0,0.0,0.0
231728,0.0,0.0,0.0
231754,0.0,0.0,0.0
234073,0.0,0.0,0.0
235054,0.0,0.0,0.0
235574,0.0,0.0,0.0
236827,0.0,0.0,0.0
237684,0.0,0.0,0.0
238777,0.0,0.0,0.0
239820,0.0,0.0,0.0
240472,0.0,0.0,0.0
240707,0.0,0.0,0.0
240815,0.0,0.0,0.0
240825,0.0,0.0,0.0
241184,0.0,0.0,0.0
241715,0.0,0.0,0.0
242293,0.0,0.0,0.0
243044,0.0,0.0,0.0
243224,0.0,0.0,0.0
243685,0.0,0.0,0.0
244272,0.0,0.0,0.0
244343,0.0,0.0,0.0
245101,0.0,0.0,0.0
245446,0.0,0.0,0.0
246269,0.0,0.0,0.0
246311,0.0,0.0,0.0
246715,0.0,0.0,0.0
246895,0.0,0.0,0.0
246921,0.0,0.0,0.0
248048,0.0,0.0,0.0
248055,0.0,0.0,0.0
248473,0.0,0.0,0.0
248857,0.0,0.0,0.0
250792,0.0,0.0,0.0
252245,0.0,0.0,0.0
253494,0.0,0.0,0.0
253961,0.0,0.0,0.0
255095,0.0,0.0,0.0
255126,0.0,0.0,0.0
256725,0.0,0.0,0.0
257008,0.0,0.0,0.0
257623,0.0,0.0,0.0
258967,0.0,0.0,0.0
259462,0.0,0.0,0.0
260492,0.0,0.0,0.0
260605,0.0,0.0,0.0
260911,0.0,0.0,0.0
262045,0.0,0.0,0.0
262319,0.0,0.0,0.0
262456,0.0,0.0,0.0
262713,0.0,0.0,0.0
262840,0.0,0.0,0.0
264153,0.0,0.0,0.0
264260,0.0,0.0,0.0
264521,0.0,0.0,0.0
264861,0.0,0.0,0.0
265382,0.0,0.0,0.0
266031,0.0,0.0,0.0
266151,0.0,0.0,0.0
266564,0.0,0.0,0.0
266807,0.0,0.0,0.0
267279,0.0,0.0,0.0
267415,0.6309297535714575,0.2,0.2708333333333333
267940,0.0,0.0,0.0
270346,0.0,0.0,0.0
270750,0.0,0.0,0.0
271211,0.0,0.0,0.0
271391,0.0,0.0,0.0
271531,0.0,0.0,0.0
271838,0.0,0.0,0.0
271864,0.0,0.0,0.0
271930,0.0,0.0,0.0
273801,0.0,0.0,0.0
273852,0.0,0.0,0.0
273992,0.0,0.0,0.0
274069,0.0,0.0,0.0
274761,0.0,0.0,0.0
274779,0.0,0.0,0.0
274879,0.0,0.0,0.0
275025,0.0,0.0,0.0
275402,0.0,0.0,0.0
277337,0.0,0.0,0.0
278417,0.0,0.0,0.0
279838,0.0,0.0,0.0
280701,0.0,0.0,0.0
280932,0.0,0.0,0.0
281138,0.0,0.0,0.0
282801,0.0,0.0,0.0
283124,0.0,0.0,0.0
283231,0.0,0.0,0.0
283829,0.0,0.0,0.0
285061,0.0,0.0,0.0
285673,0.0,0.0,0.0
285884,0.0,0.0,0.0
286146,0.0,0.0,0.0
